NRules, Ncons,|U|mean,|U|stdv,|R|mean,|R|stdv,|O|mean,|O|stdv,|UP|mean,|UP|stdv,Compres.mean,Compres.stdv,Compres.95%,Syn.Sim.mean,Syn.Sim.stdv,Syn.Sim.95%,timemean,timestdv,time95%,|GenRules|mean,|GenRules|stdv,UPperRulemean,UPperRulestdv,densitymean,densitystdv
10,2,  171.7,   18.6,   53.8,    6.5,    6.2,    0.8,  528.8,  162.3,1.50,0.14,0.00,0.72,0.04,0.00,0.02,0.14,0.00,11.04,1.01,48.90,15.39,0.08413,0.01964
10,1,  171.7,   18.6,   53.8,    6.5,    6.2,    0.8,  693.1,  261.9,1.40,0.18,0.00,0.72,0.05,0.00,0.02,0.14,0.00,12.14,1.50,104.32,35.34,0.09392,0.02882
10,0,  171.7,   18.6,   53.8,    6.5,    6.2,    0.8,  945.3,  344.6,1.30,0.24,0.00,0.70,0.06,0.00,0.16,0.37,0.00,13.36,2.01,172.09,60.89,0.10958,0.03253
30,2,  478.0,   32.0,  162.4,   10.6,    7.9,    0.3, 2037.4,  507.3,1.36,0.13,0.00,0.68,0.03,0.00,3.86,2.30,0.00,34.70,2.93,61.55,19.75,0.03184,0.00515
30,1,  478.0,   32.0,  162.4,   10.6,    7.9,    0.3, 2772.2,  718.5,1.22,0.15,0.00,0.67,0.03,0.00,5.78,3.13,0.00,39.42,4.32,131.99,41.70,0.03685,0.00651
30,0,  478.0,   32.0,  162.4,   10.6,    7.9,    0.3, 4123.2, 1397.7,1.07,0.14,0.00,0.65,0.03,0.00,9.58,5.58,0.00,43.76,5.16,227.04,75.13,0.04659,0.01109
50,2,  781.0,   51.4,  276.2,   15.9,    8.0,    0.0, 3560.1,  596.4,1.29,0.14,0.00,0.67,0.02,0.00,17.02,7.41,0.00,60.60,5.35,61.25,9.93,0.01976,0.00268
50,1,  781.0,   51.4,  276.2,   15.9,    8.0,    0.0, 5166.6, 1144.2,1.15,0.13,0.00,0.66,0.03,0.00,26.08,11.67,0.00,67.94,7.36,137.57,26.75,0.02409,0.00399
50,0,  781.0,   51.4,  276.2,   15.9,    8.0,    0.0, 8342.2, 2243.1,0.98,0.14,0.00,0.64,0.02,0.00,44.68,18.45,0.00,76.50,8.37,247.10,55.61,0.03260,0.00737
